ETF_Ticker,ETF_Nombre,Tipo_Activo,Zona_Geografica,Moneda,Clasificacion_L1,Variables_Asignadas,Num_Variables
TQQQ,ProShares UltraPro QQQ,Renta Variable,USA,USD,RV - USA,"US_CFNAI, US_CORE_PCE, US_CPI, US_CREDIT_HY_SPREAD, US_FED_FUNDS_RATE, US_GDP, US_ISM_MANUFACTURING, US_NASDAQ, US_RUSSELL2000, US_SP500, US_SPREAD_10Y2Y, US_UNEMPLOYMENT_RATE, US_VIX",13
XLE,Energy Select Sector SPDR Fund,Renta Variable,USA,USD,RV - USA,"US_CFNAI, US_CORE_PCE, US_CPI, US_CREDIT_HY_SPREAD, US_FED_FUNDS_RATE, US_GDP, US_ISM_MANUFACTURING, US_NASDAQ, US_RUSSELL2000, US_SP500, US_SPREAD_10Y2Y, US_UNEMPLOYMENT_RATE, US_VIX",13
XLK,Technology Select Sector SPDR Fund,Renta Variable,USA,USD,RV - USA,"US_CFNAI, US_CORE_PCE, US_CPI, US_CREDIT_HY_SPREAD, US_FED_FUNDS_RATE, US_GDP, US_ISM_MANUFACTURING, US_NASDAQ, US_RUSSELL2000, US_SP500, US_SPREAD_10Y2Y, US_UNEMPLOYMENT_RATE, US_VIX",13
XHB,SPDR S&P Homebuilders ETF,Renta Variable,USA,USD,RV - USA,"US_CFNAI, US_CORE_PCE, US_CPI, US_CREDIT_HY_SPREAD, US_FED_FUNDS_RATE, US_GDP, US_ISM_MANUFACTURING, US_NASDAQ, US_RUSSELL2000, US_SP500, US_SPREAD_10Y2Y, US_UNEMPLOYMENT_RATE, US_VIX",13
ISLN.L,iShares Physical Silver ETC,Alternativo,Global,USD,OTROS,"US_CFNAI, US_CREDIT_HY_SPREAD, US_FED_FUNDS_RATE, US_SPREAD_10Y2Y, US_VIX",5
XDWC.L,Xtrackers MSCI World Consumer Discretionary UCITS ETF,Renta Variable,Global,USD,RV TÁCTICO,"EU_GDP, EU_STOXX600, GLOBAL_MSCI_WORLD, US_CFNAI, US_CREDIT_HY_SPREAD, US_FED_FUNDS_RATE, US_GDP, US_ISM_MANUFACTURING, US_SP500, US_SPREAD_10Y2Y, US_VIX",11
IWR,iShares Russell Midcap ETF,Renta Variable,USA,USD,RV - USA,"US_CFNAI, US_CORE_PCE, US_CPI, US_CREDIT_HY_SPREAD, US_FED_FUNDS_RATE, US_GDP, US_ISM_MANUFACTURING, US_NASDAQ, US_RUSSELL2000, US_SP500, US_SPREAD_10Y2Y, US_UNEMPLOYMENT_RATE, US_VIX",13
IAU,iShares Gold Trust,Alternativo,Global,USD,Commodities,"US_CFNAI, US_CREDIT_HY_SPREAD, US_FED_FUNDS_RATE, US_SPREAD_10Y2Y, US_VIX",5
IVW,iShares S&P 500 Growth ETF,Renta Variable,USA,USD,RV - USA,"US_CFNAI, US_CORE_PCE, US_CPI, US_CREDIT_HY_SPREAD, US_FED_FUNDS_RATE, US_GDP, US_ISM_MANUFACTURING, US_NASDAQ, US_RUSSELL2000, US_SP500, US_SPREAD_10Y2Y, US_UNEMPLOYMENT_RATE, US_VIX",13
R2US.L,SPDR Russell 2000,Renta Variable,USA,USD,RV - USA,"US_CFNAI, US_CORE_PCE, US_CPI, US_CREDIT_HY_SPREAD, US_FED_FUNDS_RATE, US_GDP, US_ISM_MANUFACTURING, US_NASDAQ, US_RUSSELL2000, US_SP500, US_SPREAD_10Y2Y, US_UNEMPLOYMENT_RATE, US_VIX",13
